Date,High,Low,Open,Close,Volume,Adj Close,Moving Average (5 days),Moving Average (10 Days),Moving Average (15 Days),Moving Average (20 Days),SD (5 days),SD (10 days)
17/7/2020,68,66.37000275,67.30999756,66.40000153,11716600,65.78138733,66.21599884,64.48899918,61.98799947,60.57549973,0.718491114,2.164472476
20/7/2020,66.98000336,65.80000305,66.69999695,66.88999939,6357300,66.26682281,66.57999878,64.98999901,62.69199931,61.15449963,0.368578636,2.071295689
21/7/2020,69.25,67.70999908,68.83999634,67.80999756,10621300,67.17824554,66.74999847,65.69999886,63.45333252,61.7449995,0.664717633,1.60573234
22/7/2020,68.90000153,68.02999878,68.09999847,68.52999878,7366100,67.89154053,67.24399872,66.29399872,64.23733241,62.33349953,0.899932878,1.414757003
23/7/2020,68.5,66.75,68.26000214,67.37000275,8559500,66.74235535,67.4,66.55299911,64.94066594,62.87299957,0.822495083,1.3419974
24/7/2020,76.88999939,71.34999847,71.40000153,73.90000153,41226800,73.2115097,68.9,67.55799942,65.95933278,63.7159996,2.85945867,2.421675018
27/7/2020,83.40000153,80.43000031,81.36000061,83.25,39899200,82.47439575,72.17200012,69.37599945,67.38399938,65.06199951,6.727898801,5.372544271
28/7/2020,79.58000183,76.48999786,79.34999847,76.91999817,31500100,76.20337677,73.99400024,70.37199936,68.46466599,66.08849945,6.480287145,5.782471484
29/7/2020,83.37000275,77.05999756,77.11000061,82.66999817,28304000,81.89980316,76.82200012,72.03299942,69.80333252,67.38349934,6.584189346,6.716406044
30/7/2020,81.27999878,78.61000061,80.01000214,79.93000031,16820300,79.18533325,79.33399963,73.36699982,70.81333262,68.53899937,3.94255312,6.838873861
31/7/2020,79.76999664,77.51000214,79.62999725,78.88999939,12027100,78.15502167,80.33199921,74.6159996,71.81599935,69.55249939,2.639303196,6.559947625
3/8/2020,79.15000153,77.41000366,77.76999664,78.94999695,10129800,78.21445465,79.4719986,75.82199936,72.7413325,70.40599918,2.095285291,6.072198167
4/8/2020,80.19000244,78.73999786,79.33000183,80.19000244,12569400,79.44290924,80.12599945,77.05999985,73.62333272,71.37999935,1.53501788,5.491459442
5/8/2020,84,80.56999969,80.98000336,81.62999725,14447200,80.86949158,79.91799927,78.36999969,74.6613327,72.33199921,1.117908661,4.741871446
6/8/2020,82.09999847,80.22000122,82.04000092,80.51999664,9838700,79.7698288,80.03599854,79.68499908,75.58999939,73.1189991,1.150164855,2.762817067
7/8/2020,80.79000092,79.41000366,80.48999786,80.02999878,8705800,79.28440094,80.26399841,80.29799881,76.49866587,73.92799911,0.964147163,1.873605103
10/8/2020,80.84999847,79.22000122,80.55000305,79.87000275,7421400,79.12589264,80.44799957,79.95999908,77.36399943,74.66799927,0.703148208,1.560626519
11/8/2020,79.19999695,77.94000244,79.08999634,77.94000244,7056300,77.21387482,79.99799957,80.06199951,78.03933309,75.21699944,1.34058352,1.360340488
12/8/2020,79.55000305,77.73000336,78.16000366,79.38999939,8359100,78.65036011,79.55,79.73399963,78.76333313,75.88349953,0.986329865,1.012632661
13/8/2020,79.09999847,77.83000183,79,78.30000305,6551800,77.57051849,79.10600128,79.57099991,79.49199982,76.46899986,0.939056838,1.104589667
14/8/2020,79.23000336,78.05000305,78.41999817,78.41000366,5611200,77.67949677,78.78200226,79.52300034,79.79266663,77.06949997,0.8113377,1.147082094
17/8/2020,80.88999939,79.66000366,79.80000305,80.19000244,8663900,79.44290924,78.8460022,79.64700089,79.58866679,77.73450012,0.92348727,1.145278886
18/8/2020,80.81999969,79.25,80.22000122,79.41000366,6804800,78.67018127,79.14000244,79.56900101,79.75466715,78.31450043,0.786828496,1.130656187
19/8/2020,79.23000336,78.25,79.01000214,78.54000092,7976800,77.80828094,78.97000275,79.26000137,79.479334,78.81500053,0.810771269,0.904419927
20/8/2020,77.09999847,75.98000336,76.31999969,76.80999756,11457100,76.0943985,78.67200165,78.88900146,79.27133382,79.28700027,1.265118547,1.074983201
21/8/2020,78.73000336,77.86000061,78.01999664,78.33999634,7942300,77.61014557,78.65800018,78.72000122,79.23466695,79.50900002,1.26912412,1.006325597
24/8/2020,79.91000366,78.48999786,79.73000336,78.90000153,6405600,78.16493225,78.4,78.6230011,79.23133392,79.29150009,0.977422297,0.926764217
25/8/2020,80.48000336,79.47000122,79.84999847,80.04000092,6113100,79.29430389,78.52599945,78.83300095,79.22133382,79.44750023,1.163135168,0.990534602
26/8/2020,82.16999817,81.01000214,81.25,81.75,7821600,80.9883728,79.16799927,79.06900101,79.229334,79.40150032,1.853692151,1.352861376
27/8/2020,82.30999756,80.16999817,82.18000031,80.59999847,8018200,79.84908295,79.92599945,79.29900055,79.23466746,79.43500023,1.356680382,1.402208679
28/8/2020,80.87999725,79.91000366,80.05999756,80.44000244,5699500,79.69058228,80.34600067,79.50200043,79.26200104,79.51250038,1.028240574,1.40614457
31/8/2020,79.76000214,78.69000244,79,79.25,9812900,78.51166534,80.41600037,79.40800018,79.22066752,79.52750053,0.910345932,1.386321269
1/9/2020,81.59999847,79.98999786,80.12000275,81.55000305,10208200,80.79024506,80.71800079,79.62200012,79.46133423,79.59550056,1.000435415,1.542983851
2/9/2020,82.70999908,79.87999725,81.34999847,82.16999817,12567800,81.40445709,80.80200043,79.98499985,79.64666748,79.62250061,1.119316578,1.680974461
3/9/2020,81.80999756,78.37999725,81.12000275,81.18000031,20090100,80.4236908,80.91800079,80.42200012,79.8386673,79.65550079,1.123196009,1.28533482
4/9/2020,81.47000122,77.41000366,80.5,78.91000366,13638700,78.17483521,80.61200104,80.47900085,79.87200063,79.59950104,1.447555517,1.191995204
8/9/2020,79.15000153,77.22000122,78.01999664,77.31999969,11553500,76.59964752,80.22600098,80.32100067,79.68066711,79.47200089,2.038315093,1.491609197
9/9/2020,79.69999695,78.55000305,78.62000275,79.40000153,7867500,78.66027069,79.79600067,80.25700073,79.68000031,79.54500084,1.912047722,1.518493428
10/9/2020,81.23000336,78.76000214,80.73999786,78.90000153,11241800,78.16493225,79.14200134,79.97200089,79.70400035,79.52050095,1.383119726,1.473942239
11/9/2020,80.30000305,78.59999847,80.01000214,78.81999969,7853500,78.0856781,78.67000122,79.79400101,79.83800049,79.54650078,0.78873402,1.496976127
14/9/2020,81.12000275,79.94999695,80.5,80.5,7091100,79.75002289,78.98800049,79.80000076,79.98200073,79.6510006,1.148268491,1.499970165
15/9/2020,86.79000092,81.37999725,81.55999756,85.84999847,21048400,85.05017853,80.69400024,80.46000061,80.44533386,79.9340004,2.959167788,2.408161308
16/9/2020,86.48999786,83.04000092,86.48999786,83.12999725,14492600,82.35551453,81.43999939,80.61800003,80.65133362,80.12000008,3.020917539,2.536057889
17/9/2020,82.29000092,80.61000061,81,81.91000366,10090200,81.56585693,82.04199982,80.59200058,80.66200053,80.28850021,2.667445567,2.519658751
18/9/2020,82.83999634,80.11000061,82.37000275,80.23000336,10528300,79.89291382,82.32400055,80.49700089,80.63733419,80.4595005,2.289404274,2.512925937
21/9/2020,80.65000153,79.08000183,79.80000305,80.58999634,8417100,80.25139618,82.34199982,80.66500015,80.64733378,80.5720005,2.271764758,2.450419948
22/9/2020,80.88999939,79.40000153,80.83000183,80.48000336,6375200,80.14186096,81.26800079,80.98100052,80.729334,80.6510006,1.228542549,2.157355757
23/9/2020,79.93000031,77.88999939,79.69999695,77.91999817,9094700,77.59261322,80.22600098,80.83300018,80.48733368,80.54500046,1.444865032,2.322326212
24/9/2020,79,76.16999817,76.81999969,78.37999725,9940900,78.05068207,79.51999969,80.78099976,80.23466695,80.37650032,1.267893479,2.375628348
25/9/2020,78.91999817,77.38999939,78.16999817,78.87999725,6057500,78.54858398,79.24999847,80.78699951,80.08133341,80.29050026,1.221802984,2.370195016
28/9/2020,80.37000275,79.47000122,80.30999756,79.76999664,5999300,79.43483734,79.08599854,80.71399918,80.13866628,80.25699997,1.038211689,2.391165577
29/9/2020,81.23999786,79.30999756,79.69999695,80.51000214,6114600,80.17173767,79.09199829,80.17999954,80.35133311,80.32000008,1.048318997,1.573058778
30/9/2020,81.94000244,80.56999969,80.58999634,81.06999969,5878900,80.72937775,79.7219986,79.97399979,80.46266632,80.29599991,1.112462833,1.244359722
1/10/2020,82.72000122,81.73999786,82.05999756,82.62000275,6253800,82.27287292,80.56999969,80.04499969,80.7106664,80.31850014,1.409984517,1.379963399
2/10/2020,82.19999695,80.61000061,80.70999908,80.80000305,6145900,80.46051788,80.95400085,80.10199966,80.84266663,80.29950027,1.050206431,1.400079545
5/10/2020,84.62999725,81.55000305,81.55000305,84.54000092,10129100,84.18480682,81.90800171,80.49700012,81.11200002,80.58100014,1.682162039,1.987166194
6/10/2020,84.44999695,82.76999664,83.76999664,83.12000275,7795600,82.77077484,82.43000183,80.76100006,80.93000031,80.87100029,1.538733211,2.153094918
7/10/2020,87,84.77999878,84.77999878,86.91999817,11446400,86.55480194,83.60000153,81.66100006,81.18266703,81.24700012,2.287835465,2.655901719
8/10/2020,88.86000061,86.51999664,88.86000061,87.80000305,10920800,87.43110657,84.63600159,82.60300064,81.57533366,81.6920002,2.839449728,3.009855162
9/10/2020,88.80000305,87.63999939,88.33999634,88.77999878,7608800,88.40699005,86.23200073,83.59300079,82.14533335,82.19000015,2.3436969,3.266438795
12/10/2020,91.26999664,88.68000031,89.12000275,90.91000366,10022000,90.52804565,87.50600128,84.7070015,82.83333384,82.71050034,2.866928743,3.689923158
13/10/2020,90.65000153,89.43000031,90.5,89.63999939,8247000,89.26337433,88.81000061,85.62000122,83.44400024,82.90000038,1.556600077,3.665511573
14/10/2020,89.87999725,88.26999664,89.65000153,88.59999847,8196000,88.22774506,89.14600067,86.3730011,84.15600026,83.17350044,1.18316595,3.39004355
15/10/2020,89.48999786,87.19000244,87.29000092,88.15000153,10327900,87.7796402,89.21600037,86.92600098,84.80733388,83.48550034,1.090336139,3.15253342
16/10/2020,88.58999634,86.44000244,88.55000305,86.69999695,7457200,86.33572388,88.8,87.51600037,85.3286672,83.80900002,1.583526592,2.321121307
19/10/2020,89.62000275,87.29000092,88.33999634,87.55999756,7994500,87.19210815,88.12999878,87.81800003,85.84800059,84.15750008,1.103540699,2.074227089
20/10/2020,88.98000336,87.76999664,87.79000092,88.26000214,7357600,87.88917542,87.85399933,88.33199997,86.36466726,84.54650002,0.746178404,1.256272713
21/10/2020,88.87000275,87.56999969,88,87.63999939,7387600,87.27177429,87.66199951,88.40400009,86.80266724,85.03250008,0.618888205,1.184964402
22/10/2020,88.94000244,87.87999725,88.44000244,88.20999908,5656200,87.83937836,87.67399902,88.44499969,87.17533366,85.52400017,0.631175107,1.168725802
23/10/2020,88.44999695,87.43000031,88.25,88.30999756,4165400,87.93895721,87.99599915,88.39799957,87.67599996,85.99550018,0.364321893,1.163194408
26/10/2020,87.77999878,85.76999664,87.20999908,86.73000336,5568000,86.36560822,87.83000031,87.97999954,87.82200012,86.34350052,0.671898736,0.875721775
27/10/2020,87.22000122,85.98000336,86.95999908,86.70999908,5315800,86.34568787,87.51999969,87.68699951,88.06133321,86.65350037,0.7737556,0.737925707
28/10/2020,85.41000366,83.83999634,85.15000153,83.84999847,8727300,83.49770355,86.76199951,87.21199951,87.85666656,86.79250031,1.801143981,1.355383054
29/10/2020,85.33000183,84.01999664,84.26999664,84.88999939,5845600,84.53333282,86.09799957,86.8859993,87.66266632,86.90600014,1.744969961,1.490065039
30/10/2020,84.75,83.16000366,84.43000031,83.87000275,4963600,83.5176239,85.21000061,86.60299988,87.33533325,87.05950012,1.441180474,1.771483873
2/11/2020,85.95999908,84.52999878,84.59999847,85.70999908,6597100,85.34988403,85.00599976,86.41800003,86.98866628,87.11800003,1.228771034,1.756978227
3/11/2020,88.23999786,86.05999756,86.19000244,87.69000244,6274700,87.32157135,85.20200043,86.36100006,86.85866648,87.34650002,1.59277183,1.698865008
4/11/2020,89.76999664,88.45999908,88.72000122,89.44999695,7620800,89.07417297,86.32200012,86.54199982,86.91533305,87.47299995,2.241275139,1.93085284
5/11/2020,90.95999908,89.76999664,90.41999817,90.43000031,6670100,90.05005646,87.43000031,86.76399994,87.06733297,87.60449982,2.682348522,2.245865829
6/11/2020,91.5,89.05000305,89.80999756,91.41000366,6403000,91.02593994,88.93800049,87.07400055,87.38133341,87.73600006,2.268066121,2.658935837
9/11/2020,92.48000336,88.94000244,92.19999695,89.02999878,8978000,88.65593719,89.60200043,87.30400009,87.4793335,87.64199982,1.410716727,2.724539822
10/11/2020,88.80000305,86.69999695,88.40000153,87.66000366,8350100,87.29169464,89.59600067,87.39900055,87.4393336,87.54300003,1.420908326,2.718081547
11/11/2020,91.18000031,89.36000061,89.5,90.87999725,7707300,90.49816132,89.88200073,88.10200043,87.65533346,87.65699997,1.524325412,2.604942731
12/11/2020,91.88999939,89.77999878,90.87999725,89.81999969,7474600,89.44261932,89.76000061,88.59500046,87.76266683,87.74049988,1.493602382,2.386899901
13/11/2020,93.80999756,91.20999908,91.54000092,93.22000122,9170900,92.82833099,90.12200012,89.53000031,88.09000041,88.06650009,2.092681785,2.1498941
16/11/2020,102.4400024,96.36000061,96.41999817,99.26999664,18436200,98.8529129,92.16999969,90.88600006,88.92599996,88.65200005,4.4451977,3.390938377
17/11/2020,98.08999634,95.69000244,97.98000336,95.70999908,10843700,95.30786896,93.77999878,91.68799973,89.52599996,89.02449989,3.816745229,3.497788172
18/11/2020,98.80000305,96.37000275,98.51999664,96.93000031,8526600,96.52274323,94.98999939,92.43600006,90.39800008,89.48899994,3.621538691,3.756262438
19/11/2020,96.86000061,95.62000275,96.76999664,96.61000061,5542800,96.20409393,96.34799957,93.05400009,91.1793335,89.90900002,2.187284537,3.895361525
20/11/2020,97.19999695,95.30000305,96.66000366,95.33000183,5329800,94.92946625,96.76999969,93.44599991,91.94333344,90.26000023,1.540972078,3.908756463
23/11/2020,98.93000031,96.84999847,97.16000366,98.12999725,8802400,97.71770477,96.54199982,94.35599976,92.77133331,90.82999992,1.09978051,3.824818975
24/11/2020,98.58999634,96.01999664,98.48999786,96.63999939,7022800,96.23396301,96.72799988,95.25399933,93.36799978,91.32649994,0.997806001,3.054676198
25/11/2020,97.98999786,96.13999939,96.19999695,97.48999786,5194900,97.08039093,96.83999939,95.91499939,93.90399984,92.00849991,1.055886425,2.697282677
27/11/2020,99.26999664,98.05000305,98.54000092,98.73999786,4367100,98.32514191,97.26599884,96.80699921,94.45799967,92.70099983,1.333163688,1.774916677
30/11/2020,97.94999695,96.19999695,97.55999756,97.01999664,13840500,96.61236572,97.6039978,97.18699875,94.83199921,93.35849953,0.844173833,1.251123039
1/12/2020,104.3000031,98.51999664,98.69000244,100.8600006,16164700,100.4362335,98.14999847,97.34599915,95.620666,94.1159996,1.70915279,1.598159738
2/12/2020,102.0400009,99.51999664,102,99.54000092,8676300,99.1217804,98.72999878,97.72899933,96.41266581,94.70849953,1.553610377,1.621291909
3/12/2020,101.1900024,99.43000031,101.0599976,99.5,7359000,99.08194733,99.13199921,97.9859993,96.98733266,95.21099968,1.405533592,1.683080548
4/12/2020,103.75,100.6999969,101.5100021,103.7300034,10824500,103.2941818,100.1300003,98.69799957,97.91466624,95.87599983,2.444894929,2.392711328
7/12/2020,107.6100006,104.9700012,106.0199966,106.3899994,11793000,105.9430008,102.0040009,99.80399933,98.79266612,96.62499962,2.994416484,3.111211006
8/12/2020,107.8399963,105.1100006,107.7799988,105.6399994,9876200,105.1961517,102.9600006,100.5549995,99.21733297,97.45549965,3.286646903,3.539198055
9/12/2020,106.5999985,103.5100021,106.0100021,104.4199982,8204100,103.9812775,103.9360001,101.3329994,99.79799957,98.29349937,2.687029576,3.436591592
10/12/2020,105.1100006,102.1999969,103,104.2300034,7135000,103.7920761,104.8820007,102.007,100.2846664,98.96099968,1.097071877,3.255297552
11/12/2020,105.1200027,103.2200012,104.0100021,104.0299988,7492600,103.5929108,104.9419998,102.5360001,100.779333,99.67149963,1.024094324,3.091088802
14/12/2020,104.9000015,103.5,103.7699966,103.5599976,5878000,103.1248856,104.3759995,103.1900002,101.3279994,100.1884995,0.775648462,2.411513721
15/12/2020,106.3799973,104.4199982,105.6800003,105.0899963,7404000,104.6484604,104.2659988,103.6129997,101.7919993,100.4794994,0.560829114,2.326905123
16/12/2020,105.6699982,103.9599991,105.6500015,105.1999969,5986900,104.7579956,104.4219986,104.1789993,102.3626658,100.9539993,0.704463313,1.869523779
17/12/2020,105.3199997,103.8499985,104.9000015,103.9000015,7779300,103.9000015,104.3559982,104.6189995,102.7899994,101.3024994,0.741436572,0.92525529
18/12/2020,104.8000031,103.1600037,104,104.2799988,7417000,104.2799988,104.4059982,104.673999,103.1593328,101.6859993,0.722134516,0.881868851
21/12/2020,104.9599991,103.3199997,103.5599976,104.8300018,6116400,104.8300018,104.6599991,104.5179993,103.6799998,102.1609993,0.553938802,0.65281905
22/12/2020,105.2200012,102.9100037,105.0699997,103.9400024,5597100,103.9400024,104.4300003,104.3479996,103.8853333,102.4514996,0.569296303,0.539727452
23/12/2020,104.8700027,103.5999985,104.6699982,103.7600021,3320800,103.7600021,104.1420013,104.282,104.1666667,102.8074997,0.429441156,0.569478242
24/12/2020,106.3399963,104.6699982,104.7600021,105.9700012,3172100,105.9700012,104.5560013,104.4559998,104.5980001,103.2314999,0.889342274,0.779075987
28/12/2020,108.1699982,105.9499969,107.5999985,106.1500015,5157000,106.1500015,104.9300018,104.668,104.7593333,103.602,1.110067122,0.925044055
29/12/2020,107.1500015,105.2200012,107,105.5599976,4602400,105.5599976,105.076001,104.868,104.7039998,104.0290001,1.141195856,0.873648076
30/12/2020,109.6999969,107.4000015,107.6999969,108.9000015,9571800,108.9000015,106.0680008,105.2490005,104.9213333,104.4310001,1.845364549,1.550107107
31/12/2020,109.6699982,108.4400024,109.6600037,109.0400009,4907600,109.0400009,107.1240005,105.6330009,105.2293335,104.9060001,1.69939186,1.958463337
4/1/2021,114.0999985,110.4499969,111.4700012,111.6999969,11262100,111.6999969,108.2699997,106.4130005,105.7273331,105.516,2.47957603,2.629773298
5/1/2021,114.9499969,112.0100021,112.4100037,112.7699966,10583600,112.7699966,109.5939987,107.2620003,106.3099996,105.9679996,2.809977864,3.177963461
6/1/2021,116.3899994,112.5500031,113.8499985,115.6100006,10609300,115.6100006,111.6039993,108.3400002,107.1133331,106.4289997,2.797432016,3.986765908
7/1/2021,122.9400024,117.5899963,119.3399963,121.4300003,13556100,121.4300003,114.1099991,110.0889999,108.2026667,107.2184998,4.720726129,5.420607216
8/1/2021,126.2900009,116.9800034,125.9100037,118.6900024,18954700,118.6900024,116.0399994,111.582,109.1020004,107.932,4.055492083,5.538525508
11/1/2021,123.5999985,118.8000031,119.7399979,122.5999985,12032700,122.5999985,118.2199997,113.2449997,110.3486669,108.8504997,4.068907233,6.131190418
12/1/2021,125.1999969,121.6800003,125.1600037,123,14163200,123,120.2660004,114.9299995,111.596667,109.7989998,3.099971782,6.278289315
13/1/2021,124.8000031,118,124.4000015,119.2300034,20650500,119.2300034,120.9900009,116.2970001,112.5566671,110.5825001,1.950216162,5.44424712
14/1/2021,134.6499939,121.6699982,123.4499969,126.4499969,37125400,126.4499969,121.9940002,118.0519997,114.0573334,111.6505001,3.154015546,5.620655979
15/1/2021,128.5399933,123.2099991,128.4700012,125.2300034,17326000,125.2300034,123.3020004,119.6709999,115.4886668,112.6520004,2.774538184,5.037878305
19/1/2021,134.0500031,128.4400024,130.5899963,131.3000031,20443800,131.3000031,125.0420013,121.6310005,117.1773336,114.0220005,4.447737398,5.392409916
20/1/2021,136.1300049,130.1000061,135.1900024,130.6399994,17360700,130.6399994,126.5700012,123.4180008,118.8100001,115.3400005,4.863727129,5.08170721
21/1/2021,135.3999939,132.3399963,133.25,134.1600037,15609900,134.1600037,129.5560013,125.2730011,120.7166672,116.8065006,3.666570365,5.296007206
22/1/2021,131.25,128.8099976,130.0399933,129.1399994,19084100,129.1399994,130.0940018,126.044001,122.0660004,118.0665005,3.273130191,5.235242147
25/1/2021,132.1699982,127.3499985,131.8300018,130.5200043,20469300,130.5200043,131.152002,127.2270012,123.4980006,119.4045006,1.856050957,4.697851271
26/1/2021,129.3200073,126.25,129.0500031,126.6500015,17009200,126.6500015,130.2220016,127.6320015,124.4946676,120.4385006,2.724945013,4.421057956
